source_department_name,normalized_department_name
"Allgemeine Chirurgie","Allgemeine Chirurgie"
"Allgemeine Chirurgie/Intensivmedizin (§ 13 Abs. 2 Satz 3 2. Halbsatz BPflV in der am 31.12.2003 geltenden Fassung)","Allgemeine Chirurgie"
"Allgemeine Chirurgie/Schwerpunkt Abdominal- und Gefäßchirurgie","Allgemeine Chirurgie"
"Allgemeine Chirurgie/Schwerpunkt Gefäßchirurgie","Allgemeine Chirurgie"
"Allgemeine Chirurgie/Schwerpunkt Handchirurgie","Allgemeine Chirurgie"
"Allgemeine Chirurgie/Schwerpunkt Kinderchirurgie","Allgemeine Chirurgie"
"Allgemeine Chirurgie/Schwerpunkt Plastische Chirurgie","Allgemeine Chirurgie"
"Allgemeine Chirurgie/Schwerpunkt Thoraxchirurgie","Allgemeine Chirurgie"
"Allgemeine Chirurgie/Schwerpunkt Unfallchirurgie","Allgemeine Chirurgie"
"Allgemeine Chirurgie/ohne Differenzierung nach Schwerpunkten (II)","Allgemeine Chirurgie"
"Allgemeine Chirurgie/ohne Differenzierung nach Schwerpunkten (III)","Allgemeine Chirurgie"
"Allgemeine Chirurgie/ohne Differenzierung nach Schwerpunkten (IV)","Allgemeine Chirurgie"
"Allgemeine Chirurgie/ohne Differenzierung nach Schwerpunkten (V)","Allgemeine Chirurgie"
"Allgemeine Chirurgie/ohne Differenzierung nach Schwerpunkten (VII)","Allgemeine Chirurgie"
"Allgemeine Psychiatrie/Nachtklinik (für teilstationäre Pflegesätze)","Psychiatrie"
"Angiologie","Angiologie"
"Augenheilkunde","Augenheilkunde"
"Augenheilkunde/ohne Differenzierung nach Schwerpunkten (II)","Augenheilkunde"
"Chirurgie/Schwerpunkt Orthopädie","Orthopädie"
"Dermatologie","Dermatologie"
"Dermatologie/Tagesklinik (für teilstationäre Pflegesätze)","Dermatologie"
"Dermatologie/ohne Differenzierung nach Schwerpunkten (III)","Dermatologie"
"Dermatologie/ohne Differenzierung nach Schwerpunkten (IV)","Dermatologie"
"Endokrinologie","Endokrinologie"
"Endokrinologie/ohne Differenzierung nach Schwerpunkten (III)","Endokrinologie"
"Frauenheilkunde","Frauenheilkunde"
"Frauenheilkunde und Geburtshilfe","Frauenheilkunde und Geburtshilfe"
"Frauenheilkunde und Geburtshilfe/ohne Differenzierung nach Schwerpunkten (II)","Frauenheilkunde und Geburtshilfe"
"Frauenheilkunde und Geburtshilfe/ohne Differenzierung nach Schwerpunkten (III)","Frauenheilkunde und Geburtshilfe"
"Frauenheilkunde/Schwerpunkt Endokrinologie","Frauenheilkunde"
"Frauenheilkunde/Schwerpunkt Hämatologie und internistische Onkologie","Frauenheilkunde"
"Gastroenterologie","Gastroenterologie"
"Gastroenterologie/ohne Differenzierung nach Schwerpunkten (II)","Gastroenterologie"
"Geburtshilfe","Geburtshilfe"
"Geburtshilfe/ohne Differenzierung nach Schwerpunkten (II)","Geburtshilfe"
"Gefäßchirurgie","Gefäßchirurgie"
"Geriatrie","Geriatrie"
"Geriatrie/Nachtklinik (für teilstationäre Pflegesätze)","Geriatrie"
"Geriatrie/Tagesklinik (für teilstationäre Pflegesätze)","Geriatrie"
"Geriatrie/ohne Differenzierung nach Schwerpunkten (II)","Geriatrie"
"Geriatrie/ohne Differenzierung nach Schwerpunkten (IV)","Geriatrie"
"Hals-, Nasen-, Ohrenheilkunde","HNO (Hals-Nasen-Ohrenheilkunde)"
"Hals-, Nasen-, Ohrenheilkunde/ohne Differenzierung nach Schwerpunkten (II)","HNO (Hals-Nasen-Ohrenheilkunde)"
"Hals-, Nasen-, Ohrenheilkunde/ohne Differenzierung nach Schwerpunkten (III)","HNO (Hals-Nasen-Ohrenheilkunde)"
"Herzchirurgie","Sonstige Fachabteilung"
