department_name_de,department_name_en,department_name_zh
Allgemeine Chirurgie,General Surgery,一般外科
Gefäßchirurgie,Vascular Surgery,血管外科
Thoraxchirurgie,Thoracic Surgery,胸腔外科
Unfallchirurgie,Trauma Surgery,創傷外科
Orthopädie,Orthopedics,骨科
Orthopädie und Unfallchirurgie,Orthopedics and Trauma Surgery,骨科與創傷外科
Wirbelsäulenchirurgie,Spinal Surgery,脊椎外科
Viszeralchirurgie,Visceral Surgery,臟器外科 / 消化外科
Plastische Chirurgie,Plastic Surgery,整形外科
Innere Medizin,Internal Medicine,內科
Kardiologie,Cardiology,心臟內科
Gastroenterologie,Gastroenterology,胃腸肝膽科
Endokrinologie,Endocrinology,內分泌科
Nephrologie,Nephrology,腎臟科
Pneumologie,Pulmonology,胸腔內科
Rheumatologie,Rheumatology,風濕免疫科
Geriatrie,Geriatrics,老年醫學科
Infektiologie,Infectious Diseases,感染科
Neurologie,Neurology,神經內科
Neurochirurgie,Neurosurgery,神經外科
Dermatologie,Dermatology,皮膚科
Urologie,Urology,泌尿科
Frauenheilkunde,Gynecology,婦科
Geburtshilfe,Obstetrics,產科
Frauenheilkunde und Geburtshilfe,Gynecology and Obstetrics,婦產科
Pädiatrie,Pediatrics,兒科
Kinderchirurgie,Pediatric Surgery,兒童外科
Kinderkardiologie,Pediatric Cardiology,兒童心臟科
Neonatologie,Neonatology,新生兒科
"HNO (Hals-Nasen-Ohrenheilkunde)","ENT (Ear, Nose, and Throat)",耳鼻喉科
Augenheilkunde,Ophthalmology,眼科
Psychiatrie,Psychiatry,精神科
Kinder- und Jugendpsychiatrie,Child and Adolescent Psychiatry,兒童與青少年精神科
Psychosomatik,Psychosomatic Medicine,身心醫學科
Onkologie,Oncology,腫瘤科
Hämatologie und Onkologie,Hematology and Oncology,血液腫瘤科
Radiologie,Radiology,放射線科
Nuklearmedizin,Nuclear Medicine,核子醫學科
Strahlenheilkunde,Radiation Therapy,放射治療科
Intensivmedizin,Intensive Care Medicine,重症醫學科
Palliativmedizin,Palliative Medicine,安寧緩和醫療
Schmerztherapie,Pain Management,疼痛治療科
Zahnmedizin,Dentistry,牙科
Suchtmedizin,Addiction Medicine,成癮醫學科
Angiologie,Angiology,血管內科
Sonstige Fachabteilung,Other Department,其他專科
