state_code,state_name_de,state_name_en,state_name_zh
BA,Bayern,Bavaria,巴伐利亞州
BB,Brandenburg,Brandenburg,勃蘭登堡州
BE,Berlin,Berlin,柏林
BW,Baden-Württemberg,Baden-Wuerttemberg,巴登-符騰堡州
HB,Bremen,Bremen,不來梅
HE,Hessen,Hesse,黑森州
HH,Hamburg,Hamburg,漢堡
MV,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania,梅克倫堡-前波美拉尼亞州
NI,Niedersachsen,Lower Saxony,下薩克森州
NW,Nordrhein-Westfalen,North Rhine-Westphalia,北萊茵-西發利亞州
RP,Rheinland-Pfalz,Rhineland-Palatinate,萊茵蘭-普法爾茨州
SH,Schleswig-Holstein,Schleswig-Holstein,石勒蘇益格-荷爾斯泰因州
SL,Saarland,Saarland,薩爾州
SN,Sachsen,Saxony,薩克森州
ST,Sachsen-Anhalt,Saxony-Anhalt,薩克森-安哈特州
TH,Thüringen,Thuringia,圖林根州
